Student_ID,Attendance,Study_Hours,Assignment_Score,Internal_Marks,Previous_Semester_Score,Participation,Backlogs,Final_Score,Performance
1,88,6.8,91,97,50,3,0,94.75,Excellent
2,78,5.3,73,38,55,8,1,76.75,Good
3,64,6.3,100,92,57,3,3,81.4,Good
4,92,7.6,53,59,69,9,0,98.85,Excellent
5,57,6.0,75,81,87,4,0,89.4,Excellent
6,70,6.3,72,72,94,6,3,86.0,Excellent
7,88,6.1,62,49,49,3,1,74.1,Good
8,68,4.4,89,97,57,0,0,76.35,Good
9,72,4.0,84,55,77,8,3,72.8,Good
10,60,9.1,41,91,58,3,0,94.95,Excellent
11,60,6.5,80,87,75,8,2,91.9,Excellent
12,73,3.2,60,80,98,5,4,67.05,Average
13,85,5.5,41,48,52,0,2,60.4,Average
14,89,4.0,66,51,95,2,0,75.45,Good
15,73,9.4,96,73,85,10,1,100.0,Excellent
16,52,1.1,48,43,42,1,4,27.0,Needs Improvement
17,71,3.0,40,40,49,8,2,55.45,Average
18,51,4.3,50,57,77,0,3,54.45,Average
19,73,5.4,42,93,40,8,1,79.85,Good
20,93,8.7,91,80,94,8,2,100.0,Excellent
21,79,1.8,62,72,95,7,3,65.05,Average
22,87,8.3,65,48,66,7,0,97.6,Excellent
23,51,1.5,43,96,85,10,3,63.8,Average
24,70,8.6,57,69,47,0,2,79.25,Good
25,82,1.5,94,53,90,10,2,71.5,Good
26,61,1.2,45,64,85,7,0,62.2,Average
27,71,7.3,74,59,81,9,3,90.75,Excellent
28,93,10.0,61,74,56,2,3,93.1,Excellent
29,74,9.1,82,48,48,10,0,100.0,Excellent
30,98,6.2,54,60,100,6,3,85.8,Excellent
31,76,9.3,61,56,45,10,0,100.0,Excellent
32,91,1.0,99,82,82,0,1,63.3,Average
33,77,9.8,76,85,64,0,2,95.75,Excellent
34,65,5.4,91,37,78,9,1,83.9,Good
35,64,7.5,81,76,88,4,4,86.05,Excellent
36,96,8.4,51,53,99,4,4,88.45,Excellent
37,100,7.5,86,62,67,7,4,89.7,Excellent
38,93,5.8,88,79,72,6,0,95.35,Excellent
39,52,5.3,81,97,93,7,3,85.95,Excellent
40,86,8.5,77,53,76,5,1,97.25,Excellent
41,100,2.8,57,81,48,5,1,67.85,Average
42,56,9.7,84,48,57,1,1,89.0,Excellent
43,70,7.4,74,72,95,5,1,96.5,Excellent
44,58,2.8,69,87,98,4,4,64.05,Average
